TripId	HVLINE	Trip TimeStamp	Trip RunNumber	Trip LB	Stable Zero	Ramp Up	Recovery TimeStamp	Recovery RunNumber	Recovery LB	Stable Beams	Fill Number	Num CollBunches	Solenoid	Toroid	Module	Channel	Det	Side	Phi Wedge	SubPhi Wedge	Eta Sector	Electrode Side	Map	Powered Electrodes
93	242001	2015-12-08 19:51:21	287623	54	4	-1	9999-12-08 19:51:21	0	0	N	4707	424	ON	ON	242	1	EMB	C	4	0	2	H	32>63	32
92	168013	2015-12-08 17:24:28	287594	377	392	394	2015-12-08 17:44:44	287594	398	N	4707	0	ON	ON	168	13	HEC	C	6	0	2	EST2	9>24-ID=AF06	16
91	150009	2015-11-13 20:07:57	285915	21	-1	91	2015-11-13 21:13:42	285915	91	N	4609	0	RAMP	RAMP	150	9	HEC	C	10	0	3	EST2	25>32-ID=AR06	8
90	66013	2015-11-04 09:48:54	284672	27	-1	28	2015-11-04 09:50:59	284672	30	N	4572	0	RAMP	RAMP	66	13	HEC	A	10	0	2	EST2	9>24-ID=CF23	16
89	58000	2015-11-04 08:32:19	284670	146	-1	146	2015-11-04 08:39:59	284670	153	N	4572	0	RAMP	RAMP	58	0	HEC	A	25	0	3	PAD2	25>32-ID=AR09	8
88	167006	2015-11-03 01:09:43	284484	96	104	-1	2015-11-03 01:11:00	-1	-1	Y	4569	2232	ON	ON	167	6	HEC	C	11	0	2	EST1	9>24-ID=AF04	16
87	161003	2015-11-03 01:02:48	284484	87	-1	87	2015-11-03 01:05:20	284484	89	Y	4569	2232	ON	ON	161	3	HEC	C	23	0	3	PAD1	25>32-ID=CR26	8
86	58000	2015-11-02 23:35:44	284484	1	1	-1	2015-11-03 23:37:00	-1	-1	Y	4569	2232	ON	ON	58	0	HEC	A	25	0	3	PAD2	25>32-ID=AR09	8
85	152005	2015-11-02 23:08:12	284473	354	354	-1	2015-11-03 23:09:00	-1	-1	Y	4569	2232	ON	ON	152	5	HEC	C	5	0	4	EST2	33>40-ID=AR02	8
84	159005	2015-11-02 10:52:30	284427	202	-1	202	2015-11-02 10:55:46	284427	206	Y	4565	2232	ON	ON	159	5	HEC	C	27	0	4	EST2	33>40-ID=CR22	8
83	61002	2015-11-02 05:15:45	284423	148	-1	148	2015-11-02 05:19:57	284423	152	N	4564	2232	ON	ON	61	2	HEC	A	23	0	3	EST1	25>32-ID=AR17	8
82	167006	2015-11-02 05:05:14	284423	138	145	180	2015-11-02 05:55:25	-1	-1	N	4564	2232	ON	ON	167	6	HEC	C	11	0	2	EST1	9>24-ID=AF04	16
